age_group,gender_id,income_bracket,household_size,commute_minutes,orders_per_week,order_windows,avg_spend_aed,tip_pct,fav_cuisines,spice_level,max_radius_km,diet_style,allergens,pack_sustain_score,traceability_interest,pay_premium_cn,liked_features,sub_bundle_yesno,jar_return_likely,mood_menu_value,chef_live_interest,group_cart_value,reorder_nudge_optin,nps,adoption_timing,max_wait_min,fav_discount,primary_concern,badge_influence
18-24,Man,20-35k,2,13,4-5,Dinner 18-22;Breakfast 6-10,18.84,16.7,Arab;Healthy bowls;Desserts / Bakery,2,2.0,Omnivore,None;Soy,3,4,No,Freshness alerts;Reusable-pack rewards,Yes,2,4,3,1,Yes,8,1-3 months,38,Free delivery,Quality trust,3
18-24,Woman,20-35k,2,38,2-3,Snack 14-17;Dinner 18-22;Lunch 11-14,48.81,8.0,Western-comfort;Healthy bowls;Asian-street,2,2.5,Omnivore,Nuts;None,2,3,Yes,AI meal-builder;Dynamic off-peak pricing;Chef livestreams & AR plating guides;Group cart & split pay;Community impact badges,No,2,5,5,4,Yes,8,Immediately,40,Off-peak % discount,App ease,2
25-34,Woman,20-35k,3,9,0-1,Dinner 18-22;Lunch 11-14,115.73,2.0,Arab;Indian,3,9.2,Omnivore,None,4,5,Maybe,Reusable-pack rewards;Freshness alerts;Dynamic off-peak pricing;AI meal-builder;Group cart & split pay,Yes,4,3,3,4,No,6,1-3 months,39,Free delivery,Delivery speed,2
18-24,Woman,20-35k,5,15,0-1,Lunch 11-14;Dinner 18-22,67.06,7.6,Arab,1,6.6,Omnivore,None,3,3,Maybe,Chef livestreams & AR plating guides;Community impact badges;Group cart & split pay;AI meal-builder;Reusable-pack rewards,No,4,5,3,3,Yes,5,Immediately,34,Loyalty points,Delivery speed,1
18-24,Prefer not to say,20-35k,2,10,2-3,Dinner 18-22,86.03,6.5,Healthy bowls;Indian;Western-comfort,3,8.3,Omnivore,None,3,4,Yes,Mood-weather menu;Freshness alerts;AI meal-builder;Dynamic off-peak pricing,Yes,4,3,4,4,Yes,9,Immediately,20,Loyalty points,App ease,5
25-34,Man,10-20k,4,48,0-1,Snack 14-17,50.93,5.5,Indian;Western-comfort;Healthy bowls,4,1.0,Omnivore,Nuts;Dairy,5,2,Yes,AI meal-builder;Mood-weather menu;Chef livestreams & AR plating guides;Reusable-pack rewards,No,5,4,3,2,No,4,Immediately,26,Free dessert add-on,Quality trust,3
18-24,Man,5-10k,11,115,4-5,Snack 14-17,450.81192,28.404667,Western-comfort,2,4.7,High-protein,Dairy,3,3,Maybe,AI meal-builder;Community impact badges,No,3,4,3,2,No,10,Within 1 month,26,Free delivery,App ease,5
35-44,Man,5-10k,2,39,6+,Lunch 11-14,68.96,0.8,Western-comfort,1,9.3,Omnivore,Dairy;Eggs,2,3,Yes,Reusable-pack rewards;Group cart & split pay,Yes,4,3,2,3,No,3,Immediately,46,Free delivery,Delivery speed,4
18-24,Man,20-35k,4,19,6+,Snack 14-17,61.81,17.2,Desserts / Bakery;Indian;Asian-street,3,7.6,Pescatarian,None,2,2,Maybe,AI meal-builder;Mood-weather menu;Dynamic off-peak pricing;Community impact badges,Yes,3,4,4,2,Yes,8,Immediately,51,Free dessert add-on,Quality trust,4
25-34,Man,5-10k,4,49,0-1,Dinner 18-22;Late night 22-02;Breakfast 6-10,25.15,13.3,Asian-street;Arab,2,4.7,Omnivore,None;Gluten,2,2,Yes,Chef livestreams & AR plating guides;Group cart & split pay;AI meal-builder;Dynamic off-peak pricing,Yes,3,3,4,3,Yes,10,Immediately,50,Off-peak % discount,Delivery speed,3
55+,Man,10-20k,8,61,4-5,Late night 22-02,67.08,0.0,Desserts / Bakery;Western-comfort,2,8.9,Omnivore,None;Eggs,4,3,Maybe,Community impact badges;Group cart & split pay;Freshness alerts,No,4,4,2,5,Yes,7,After friends’ reviews,29,Free delivery,Quality trust,3
25-34,Woman,<5k,5,30,0-1,Dinner 18-22,83.79,5.1,Desserts / Bakery;Asian-street;Indian,2,9.3,Omnivore,Dairy,4,2,Maybe,Dynamic off-peak pricing;Chef livestreams & AR plating guides;Reusable-pack rewards;Community impact badges;Mood-weather menu,No,4,3,2,3,Yes,10,After friends’ reviews,52,Free delivery,Price,4
35-44,Non-binary,10-20k,3,20,2-3,Late night 22-02;Lunch 11-14,18.3,12.8,Asian-street,4,10.2,Omnivore,Seafood;Nuts,4,5,No,Chef livestreams & AR plating guides;Mood-weather menu,Yes,4,3,3,4,Yes,9,1-3 months,39,Free delivery,Price,2
25-34,Man,35k+,9,38,4-5,Dinner 18-22,55.21,9.5,Desserts / Bakery,3,7.3,Vegan,Seafood;None,5,3,Maybe,Group cart & split pay;Freshness alerts,Yes,4,4,4,4,Yes,8,Immediately,38,Free delivery,Price,2
55+,Man,10-20k,2,21,6+,Late night 22-02;Lunch 11-14,49.62,3.5,Asian-street,3,5.2,Omnivore,None,4,5,Maybe,Mood-weather menu;Reusable-pack rewards;Group cart & split pay;Dynamic off-peak pricing,No,2,3,2,4,Yes,5,After friends’ reviews,49,Loyalty points,Delivery speed,4
35-44,Man,20-35k,1,62,4-5,Dinner 18-22;Lunch 11-14;Breakfast 6-10,54.14,10.7,Western-comfort;Asian-street,5,7.4,Omnivore,Nuts;Gluten,2,3,Maybe,Dynamic off-peak pricing;Freshness alerts;Reusable-pack rewards,No,3,4,3,4,Yes,10,1-3 months,29,Loyalty points,App ease,2
25-34,Woman,10-20k,4,20,0-1,Dinner 18-22;Late night 22-02,48.75,5.9,Arab;Western-comfort,2,7.4,Omnivore,None;Dairy,3,3,Yes,Freshness alerts;Group cart & split pay;Dynamic off-peak pricing;Reusable-pack rewards,Yes,5,4,1,3,No,6,Immediately,35,Loyalty points,Quality trust,3
25-34,Woman,5-10k,2,37,2-3,Late night 22-02;Lunch 11-14,97.87,12.9,Desserts / Bakery,4,9.9,Omnivore,None;Dairy,3,4,No,AI meal-builder;Chef livestreams & AR plating guides;Freshness alerts;Community impact badges;Reusable-pack rewards,No,4,3,2,4,Yes,8,Immediately,43,Free delivery,Packaging waste,3
25-34,Non-binary,10-20k,1,47,2-3,Dinner 18-22;Lunch 11-14,47.81,12.5,Indian,4,7.4,Omnivore,None,3,5,Yes,AI meal-builder;Reusable-pack rewards;Chef livestreams & AR plating guides,Yes,5,4,1,4,Yes,6,Immediately,43,Off-peak % discount,Price,3
25-34,Woman,10-20k,2,78,2-3,Snack 14-17;Dinner 18-22;Lunch 11-14,51.16,16.0,Western-comfort;Arab,4,13.1,Low-carb,None,4,4,Yes,Community impact badges;Reusable-pack rewards;Freshness alerts;Dynamic off-peak pricing;Chef livestreams & AR plating guides,Yes,4,3,4,3,Yes,6,Not interested,56,Off-peak % discount,Packaging waste,3
45-54,Woman,5-10k,2,34,2-3,Breakfast 6-10;Dinner 18-22;Lunch 11-14,48.36,2.1,Western-comfort;Indian,1,4.5,Omnivore,None;Soy,4,4,Yes,Chef livestreams & AR plating guides;Mood-weather menu;Community impact badges,Yes,5,4,3,3,Yes,10,1-3 months,40,Free delivery,Packaging waste,4
25-34,Prefer not to say,10-20k,3,41,4-5,Dinner 18-22;Snack 14-17;Breakfast 6-10,94.98,4.5,Arab;Healthy bowls;Indian,3,7.4,Pescatarian,None,3,4,Maybe,Group cart & split pay;Reusable-pack rewards,Yes,3,3,3,5,Yes,2,After friends’ reviews,34,Loyalty points,Packaging waste,2
35-44,Woman,<5k,2,25,2-3,Dinner 18-22;Breakfast 6-10;Lunch 11-14,78.11,4.6,Desserts / Bakery;Indian;Asian-street,4,9.1,Vegan,None;Seafood,3,4,Maybe,Reusable-pack rewards;Group cart & split pay;Community impact badges,No,1,3,4,4,No,8,Immediately,57,Free dessert add-on,Delivery speed,3
35-44,Woman,10-20k,1,35,2-3,Late night 22-02;Breakfast 6-10;Lunch 11-14,78.75,0.0,Healthy bowls;Asian-street,2,2.8,Vegetarian,None;Gluten,4,3,Yes,Group cart & split pay;Mood-weather menu;AI meal-builder;Dynamic off-peak pricing;Community impact badges,Yes,4,4,1,5,Yes,10,Immediately,34,Free dessert add-on,Other,4
45-54,Woman,<5k,3,51,6+,Snack 14-17;Dinner 18-22;Lunch 11-14,38.23,8.1,Indian;Western-comfort,3,12.4,High-protein,None,3,3,Yes,Mood-weather menu;Freshness alerts,Yes,4,3,1,4,Yes,5,After friends’ reviews,53,Off-peak % discount,Delivery speed,5
55+,Woman,20-35k,4,26,2-3,Dinner 18-22;Lunch 11-14,62.9,8.4,Healthy bowls,5,5.8,Pescatarian,Dairy,4,5,Maybe,Reusable-pack rewards;Freshness alerts;Chef livestreams & AR plating guides,No,5,2,4,4,No,4,Immediately,63,Loyalty points,Quality trust,5
25-34,Man,5-10k,3,32,4-5,Dinner 18-22,36.25,8.2,Arab;Asian-street,3,12.9,Omnivore,None;Nuts,4,4,Maybe,Dynamic off-peak pricing;Freshness alerts,Yes,3,4,4,5,Yes,3,Immediately,47,Free dessert add-on,Delivery speed,4
25-34,Man,20-35k,3,45,2-3,Dinner 18-22;Snack 14-17,34.49,6.6,Asian-street;Arab;Indian,3,9.1,Omnivore,Nuts;None,2,4,No,Chef livestreams & AR plating guides;Community impact badges;Reusable-pack rewards;Freshness alerts,Yes,3,3,3,3,Yes,5,Immediately,53,Free dessert add-on,Quality trust,2
25-34,Man,<5k,4,35,2-3,Dinner 18-22,50.25,8.7,Asian-street,4,5.0,Omnivore,Gluten,3,3,Yes,Group cart & split pay;Mood-weather menu;Dynamic off-peak pricing;Freshness alerts,Yes,4,2,4,4,Yes,10,1-3 months,52,Free delivery,Delivery speed,3
45-54,Man,10-20k,1,46,2-3,Snack 14-17;Dinner 18-22;Lunch 11-14,23.44,5.4,Healthy bowls,2,7.3,Omnivore,None,3,3,Maybe,AI meal-builder;Reusable-pack rewards,No,5,4,3,3,Yes,4,Immediately,42,Free delivery,Other,4
25-34,Man,5-10k,2,57,2-3,Breakfast 6-10,33.61,11.3,Healthy bowls;Western-comfort;Indian,1,5.9,Omnivore,None;Gluten,3,3,Maybe,Reusable-pack rewards;AI meal-builder;Dynamic off-peak pricing,Yes,4,5,4,3,Yes,4,After friends’ reviews,42,Free delivery,App ease,2
35-44,Woman,20-35k,2,36,6+,Dinner 18-22,51.46,13.6,Asian-street;Arab;Healthy bowls,1,12.0,Omnivore,None,4,3,No,Mood-weather menu;Reusable-pack rewards;Freshness alerts;Group cart & split pay,No,4,3,4,4,No,8,1-3 months,21,Free delivery,Price,4
55+,Woman,5-10k,2,22,0-1,Lunch 11-14;Snack 14-17,73.98,13.7,Indian,1,8.1,Omnivore,Dairy,4,5,Yes,Freshness alerts;Dynamic off-peak pricing;AI meal-builder;Reusable-pack rewards,Yes,3,4,2,1,Yes,0,After friends’ reviews,36,Off-peak % discount,Other,3
25-34,Woman,5-10k,1,43,0-1,Snack 14-17,60.15,5.0,Desserts / Bakery;Asian-street,4,6.7,Vegetarian,Soy;None,3,4,Maybe,AI meal-builder;Chef livestreams & AR plating guides;Community impact badges;Group cart & split pay;Mood-weather menu,Yes,5,5,3,4,No,10,Immediately,42,Off-peak % discount,Quality trust,3
25-34,Woman,5-10k,2,44,0-1,Lunch 11-14,42.91,4.1,Desserts / Bakery,2,9.8,Pescatarian,None,3,4,No,Group cart & split pay;Mood-weather menu;AI meal-builder;Chef livestreams & AR plating guides,No,3,4,3,4,Yes,5,1-3 months,41,Free dessert add-on,Price,4
55+,Man,<5k,2,69,0-1,Snack 14-17;Lunch 11-14;Dinner 18-22,47.3,2.4,Asian-street;Desserts / Bakery;Western-comfort,2,7.0,Vegetarian,Nuts,4,4,Yes,Mood-weather menu;Community impact badges;Group cart & split pay,No,5,4,4,3,Yes,0,After friends’ reviews,27,Free delivery,Delivery speed,4
35-44,Man,<5k,4,12,2-3,Dinner 18-22;Lunch 11-14,83.42,12.3,Asian-street;Indian,2,7.7,Omnivore,None,4,5,No,Mood-weather menu;Group cart & split pay;Reusable-pack rewards,No,3,5,2,4,Yes,5,Within 1 month,65,Loyalty points,Price,3
25-34,Man,20-35k,2,22,2-3,Lunch 11-14;Snack 14-17;Dinner 18-22,40.06,4.1,Indian;Western-comfort;Healthy bowls,4,5.6,Omnivore,None;Seafood,5,4,Yes,Mood-weather menu;AI meal-builder;Community impact badges;Group cart & split pay,No,5,3,3,4,No,2,Within 1 month,38,Free delivery,App ease,4
25-34,Woman,10-20k,1,53,2-3,Dinner 18-22,79.5,17.3,Healthy bowls,3,10.2,Low-carb,None,3,2,Yes,Community impact badges;AI meal-builder;Freshness alerts,No,3,2,3,2,Yes,10,Immediately,20,Off-peak % discount,Delivery speed,2
25-34,Man,20-35k,5,5,0-1,Breakfast 6-10;Lunch 11-14;Snack 14-17,50.9,10.3,Indian;Asian-street,2,3.6,Vegetarian,Seafood;Eggs,3,3,Maybe,Mood-weather menu;Chef livestreams & AR plating guides;AI meal-builder;Dynamic off-peak pricing;Community impact badges,Yes,3,4,4,4,Yes,6,1-3 months,15,Free delivery,Price,3
18-24,Man,20-35k,2,32,0-1,Lunch 11-14,40.04,2.2,Asian-street;Indian,2,7.1,Omnivore,Dairy,3,4,Yes,Dynamic off-peak pricing;Freshness alerts;Community impact badges;Chef livestreams & AR plating guides;AI meal-builder,Yes,2,1,2,2,No,8,1-3 months,27,Loyalty points,App ease,5
25-34,Woman,20-35k,3,70,4-5,Dinner 18-22;Snack 14-17,97.32,12.0,Indian;Healthy bowls,1,6.9,Omnivore,Seafood;None,5,3,Maybe,AI meal-builder;Dynamic off-peak pricing;Chef livestreams & AR plating guides;Group cart & split pay;Community impact badges,Yes,2,2,2,3,Yes,6,After friends’ reviews,47,Off-peak % discount,Quality trust,4
25-34,Man,35k+,1,16,2-3,Snack 14-17;Late night 22-02;Lunch 11-14,35.37,14.1,Arab;Asian-street,4,2.7,Omnivore,Seafood;None,3,4,Maybe,Group cart & split pay;Mood-weather menu;Freshness alerts;AI meal-builder,Yes,4,1,5,3,Yes,7,Within 1 month,52,Free delivery,Delivery speed,5
45-54,Man,10-20k,3,15,0-1,Dinner 18-22;Breakfast 6-10;Late night 22-02,57.95,0.0,Asian-street;Western-comfort,3,10.3,Vegan,None,3,2,Maybe,Mood-weather menu;AI meal-builder;Community impact badges;Chef livestreams & AR plating guides;Group cart & split pay,Yes,4,4,3,3,Yes,8,Within 1 month,41,Off-peak % discount,Delivery speed,4
18-24,Woman,5-10k,8,83,4-5,Dinner 18-22;Lunch 11-14;Snack 14-17,253.85466,28.676292,Indian;Western-comfort,4,5.0,Vegan,Dairy;None,4,3,No,Freshness alerts;Dynamic off-peak pricing,No,5,3,3,3,Yes,4,After friends’ reviews,48,Loyalty points,Price,4
18-24,Man,20-35k,4,22,6+,Breakfast 6-10;Lunch 11-14;Snack 14-17,43.79,11.0,Healthy bowls,4,11.7,Vegan,None,4,3,Yes,Reusable-pack rewards;Community impact badges;AI meal-builder;Freshness alerts;Group cart & split pay,No,2,2,4,4,No,3,Immediately,53,Off-peak % discount,Price,4
25-34,Woman,5-10k,1,66,4-5,Lunch 11-14;Snack 14-17;Dinner 18-22,79.02,11.8,Arab;Indian,2,5.6,Omnivore,None,4,4,No,Dynamic off-peak pricing;Chef livestreams & AR plating guides;Group cart & split pay;Freshness alerts,Yes,3,1,2,3,No,1,After friends’ reviews,30,Loyalty points,Delivery speed,3
25-34,Woman,<5k,7,37,4-5,Dinner 18-22,85.78,0.0,Healthy bowls,3,5.6,Omnivore,Gluten;None,4,4,Yes,Chef livestreams & AR plating guides;AI meal-builder,Yes,4,3,3,2,No,3,1-3 months,40,Off-peak % discount,App ease,3
25-34,Man,10-20k,2,35,0-1,Lunch 11-14,38.78,6.9,Indian;Desserts / Bakery,2,11.3,Omnivore,Nuts;Seafood,4,4,Yes,Group cart & split pay;Mood-weather menu,Yes,4,3,1,5,Yes,10,Immediately,41,Loyalty points,Price,5
25-34,Man,10-20k,1,35,2-3,Snack 14-17,63.63,5.4,Indian;Western-comfort,3,5.2,Low-carb,Eggs,5,3,Maybe,Chef livestreams & AR plating guides;Community impact badges;Mood-weather menu;Freshness alerts,Yes,4,2,4,2,Yes,6,1-3 months,35,Off-peak % discount,Price,2
35-44,Woman,20-35k,4,37,4-5,Lunch 11-14;Snack 14-17,50.26,3.2,Asian-street;Arab,2,6.6,Omnivore,None,2,5,Yes,Community impact badges;AI meal-builder;Mood-weather menu,No,5,3,2,4,Yes,6,1-3 months,22,Off-peak % discount,Packaging waste,3
18-24,Woman,5-10k,1,38,2-3,Lunch 11-14;Late night 22-02;Dinner 18-22,42.5,13.7,Healthy bowls;Arab,2,5.8,Omnivore,None;Dairy,3,3,Maybe,AI meal-builder;Dynamic off-peak pricing;Group cart & split pay;Community impact badges;Chef livestreams & AR plating guides,No,5,3,4,3,Yes,8,After friends’ reviews,51,Off-peak % discount,App ease,4
18-24,Man,10-20k,2,48,2-3,Breakfast 6-10;Lunch 11-14,117.87,8.2,Indian;Arab;Desserts / Bakery,3,9.4,Omnivore,Dairy,3,3,Yes,AI meal-builder;Mood-weather menu;Community impact badges;Reusable-pack rewards;Freshness alerts,No,5,1,3,3,No,6,After friends’ reviews,26,Loyalty points,Quality trust,5
25-34,Woman,20-35k,1,11,4-5,Lunch 11-14;Dinner 18-22,32.81,7.2,Arab;Asian-street;Western-comfort,1,7.1,Pescatarian,None,4,4,Yes,Freshness alerts;Chef livestreams & AR plating guides;Mood-weather menu;Community impact badges,Yes,3,3,3,4,No,9,Within 1 month,57,Free dessert add-on,Price,3
25-34,Woman,10-20k,2,70,2-3,Lunch 11-14;Dinner 18-22,32.32,12.5,Asian-street;Western-comfort,3,10.2,Omnivore,None;Seafood,3,4,No,Chef livestreams & AR plating guides;Dynamic off-peak pricing;AI meal-builder,No,4,4,3,3,No,4,Within 1 month,46,Loyalty points,Price,5
18-24,Man,35k+,3,77,4-5,Lunch 11-14;Snack 14-17;Dinner 18-22,56.63,5.7,Indian;Western-comfort;Asian-street,3,4.6,Omnivore,Nuts;None,1,3,No,AI meal-builder;Reusable-pack rewards;Chef livestreams & AR plating guides,Yes,1,3,3,1,No,6,Immediately,43,Free dessert add-on,App ease,3
18-24,Man,10-20k,1,33,0-1,Dinner 18-22,31.01,16.7,Indian;Arab,2,5.8,Omnivore,Eggs;Gluten,3,2,No,Reusable-pack rewards;Dynamic off-peak pricing,No,4,3,5,2,Yes,8,Within 1 month,35,Loyalty points,App ease,5
35-44,Woman,<5k,2,12,4-5,Lunch 11-14;Dinner 18-22,68.08,9.0,Indian,3,7.6,Vegan,Gluten;Dairy,5,3,Yes,AI meal-builder;Dynamic off-peak pricing,Yes,4,3,4,3,Yes,6,1-3 months,38,Free delivery,Price,3
25-34,Woman,10-20k,3,47,2-3,Lunch 11-14;Dinner 18-22;Breakfast 6-10,77.61,14.4,Desserts / Bakery;Arab,2,8.5,Omnivore,None,3,5,Yes,Freshness alerts;Chef livestreams & AR plating guides;Group cart & split pay,Yes,4,4,4,5,Yes,10,After friends’ reviews,46,Loyalty points,Delivery speed,4
45-54,Woman,10-20k,2,21,2-3,Late night 22-02;Breakfast 6-10;Dinner 18-22,40.82,0.0,Indian,3,6.2,Vegan,Eggs,4,2,No,Reusable-pack rewards;Chef livestreams & AR plating guides,No,3,3,3,3,Yes,7,1-3 months,56,Loyalty points,Price,3
45-54,Woman,5-10k,4,55,2-3,Snack 14-17;Dinner 18-22,64.37,14.5,Western-comfort;Healthy bowls,3,4.4,Omnivore,None;Seafood,4,5,Yes,Freshness alerts;Chef livestreams & AR plating guides;Dynamic off-peak pricing,Yes,4,4,3,5,No,8,Immediately,40,Free delivery,Price,3
18-24,Woman,35k+,4,60,2-3,Snack 14-17;Dinner 18-22,111.25,8.6,Western-comfort,3,11.4,High-protein,Dairy,4,1,Yes,Reusable-pack rewards;AI meal-builder;Freshness alerts;Chef livestreams & AR plating guides;Community impact badges,Yes,3,3,2,4,Yes,5,Not interested,46,Free dessert add-on,Delivery speed,2
18-24,Man,5-10k,1,10,4-5,Lunch 11-14;Dinner 18-22,38.69,9.5,Asian-street;Western-comfort,3,8.9,Vegan,None;Nuts,4,3,Yes,Reusable-pack rewards;Mood-weather menu;AI meal-builder,No,5,4,2,3,Yes,2,Immediately,27,Free delivery,App ease,4
45-54,Woman,10-20k,3,32,4-5,Dinner 18-22;Lunch 11-14;Snack 14-17,74.86,3.8,Indian;Asian-street;Western-comfort,3,2.0,Omnivore,None,5,5,No,AI meal-builder;Group cart & split pay,Yes,3,4,3,3,No,9,Within 1 month,35,Off-peak % discount,Delivery speed,5
25-34,Non-binary,5-10k,6,27,2-3,Snack 14-17;Dinner 18-22,51.75,18.1,Asian-street,4,5.1,Pescatarian,None,3,5,Maybe,Mood-weather menu;Dynamic off-peak pricing,No,5,4,2,3,Yes,9,After friends’ reviews,56,Off-peak % discount,App ease,4
18-24,Woman,10-20k,4,32,2-3,Lunch 11-14,72.71,11.2,Asian-street,4,7.7,Omnivore,Eggs,5,3,Maybe,AI meal-builder;Freshness alerts,No,2,4,2,5,No,1,Within 1 month,27,Off-peak % discount,App ease,4
18-24,Man,5-10k,4,49,2-3,Snack 14-17;Late night 22-02;Lunch 11-14,53.1,3.1,Indian;Desserts / Bakery;Asian-street,2,9.3,Pescatarian,None,3,4,Yes,Reusable-pack rewards;Chef livestreams & AR plating guides,Yes,3,4,4,3,No,9,Within 1 month,51,Off-peak % discount,Delivery speed,3
35-44,Man,10-20k,3,21,4-5,Breakfast 6-10,33.77,5.3,Healthy bowls;Western-comfort,2,17.0,Vegetarian,None,4,3,Maybe,Chef livestreams & AR plating guides;Mood-weather menu;Community impact badges,No,4,4,2,3,Yes,9,Within 1 month,34,Free delivery,Quality trust,4
18-24,Woman,5-10k,5,19,4-5,Snack 14-17;Lunch 11-14;Dinner 18-22,48.33,4.9,Desserts / Bakery;Western-comfort;Indian,2,11.5,Omnivore,Dairy,1,2,Maybe,Chef livestreams & AR plating guides;Group cart & split pay;AI meal-builder;Community impact badges,Yes,3,4,3,3,Yes,3,Within 1 month,53,Off-peak % discount,Quality trust,3
18-24,Man,<5k,2,34,2-3,Dinner 18-22;Late night 22-02,22.11,7.2,Desserts / Bakery;Indian,3,9.8,Omnivore,Gluten;None,3,3,No,Community impact badges;Dynamic off-peak pricing;Group cart & split pay;Freshness alerts,Yes,3,4,3,3,Yes,7,Within 1 month,27,Off-peak % discount,App ease,3
25-34,Man,20-35k,2,27,0-1,Dinner 18-22,93.57,3.5,Desserts / Bakery;Western-comfort;Arab,1,11.6,Pescatarian,Soy,3,2,Yes,Reusable-pack rewards;Mood-weather menu,No,3,3,2,5,Yes,5,Immediately,44,Off-peak % discount,App ease,2
45-54,Man,20-35k,2,50,4-5,Dinner 18-22;Lunch 11-14,55.32,7.5,Western-comfort;Asian-street,2,9.0,Vegetarian,None;Nuts,4,4,Yes,Mood-weather menu;Reusable-pack rewards;Community impact badges;AI meal-builder,Yes,3,4,1,5,Yes,6,Within 1 month,38,Off-peak % discount,Delivery speed,4
35-44,Woman,10-20k,1,39,4-5,Breakfast 6-10,51.69,6.6,Western-comfort,2,13.8,Pescatarian,None;Dairy,2,3,No,Group cart & split pay;Dynamic off-peak pricing;Chef livestreams & AR plating guides;AI meal-builder;Community impact badges,No,2,5,4,4,Yes,4,After friends’ reviews,43,Loyalty points,Other,3
18-24,Woman,<5k,3,5,2-3,Lunch 11-14;Dinner 18-22,48.98,9.3,Desserts / Bakery,2,9.4,Omnivore,Nuts,3,4,Yes,Dynamic off-peak pricing;Freshness alerts;Community impact badges,Yes,3,4,5,2,Yes,10,Immediately,41,Off-peak % discount,Delivery speed,4
25-34,Man,10-20k,5,14,2-3,Lunch 11-14;Dinner 18-22,51.77,5.9,Arab;Indian,2,4.9,Omnivore,None;Seafood,2,4,Maybe,AI meal-builder;Community impact badges,No,3,4,3,4,Yes,5,Within 1 month,34,Loyalty points,Packaging waste,5
45-54,Woman,10-20k,2,22,0-1,Late night 22-02;Breakfast 6-10,37.22,3.3,Asian-street;Indian,3,7.3,Vegetarian,Nuts,3,3,Maybe,Dynamic off-peak pricing;Reusable-pack rewards;Freshness alerts;AI meal-builder,Yes,3,4,4,3,Yes,5,After friends’ reviews,34,Off-peak % discount,App ease,2
35-44,Man,10-20k,3,39,0-1,Lunch 11-14;Dinner 18-22,114.32,10.7,Indian;Arab,2,9.4,Omnivore,None;Seafood,4,4,Maybe,Dynamic off-peak pricing;Chef livestreams & AR plating guides,Yes,3,4,3,3,Yes,3,Immediately,60,Free delivery,Quality trust,5
35-44,Man,10-20k,7,16,2-3,Dinner 18-22;Snack 14-17;Lunch 11-14,74.42,12.2,Arab,1,2.9,Omnivore,Eggs;None,4,3,No,Freshness alerts;Mood-weather menu;Group cart & split pay;AI meal-builder;Community impact badges,No,4,5,3,5,No,2,Within 1 month,32,Free delivery,Delivery speed,4
18-24,Woman,10-20k,5,22,6+,Snack 14-17,50.41,10.4,Healthy bowls,3,7.8,Vegan,Nuts;None,1,5,Maybe,Freshness alerts;AI meal-builder;Group cart & split pay,No,2,2,2,2,Yes,8,Immediately,58,Loyalty points,Quality trust,5
25-34,Woman,10-20k,3,8,0-1,Lunch 11-14;Late night 22-02;Dinner 18-22,65.3,8.9,Desserts / Bakery;Arab,3,1.2,Vegan,Gluten,3,5,No,Group cart & split pay;Freshness alerts;Mood-weather menu;Chef livestreams & AR plating guides,Yes,2,4,4,3,No,7,1-3 months,26,Free dessert add-on,Quality trust,4
18-24,Prefer not to say,20-35k,2,40,0-1,Dinner 18-22,43.16,11.4,Indian,2,1.8,Omnivore,None;Nuts,4,5,Maybe,Reusable-pack rewards;AI meal-builder;Community impact badges,No,3,2,4,4,Yes,6,Within 1 month,43,Off-peak % discount,Price,4
35-44,Woman,<5k,1,66,6+,Lunch 11-14;Late night 22-02;Dinner 18-22,54.92,12.1,Indian;Western-comfort,1,4.9,Omnivore,None,2,4,No,Freshness alerts;Dynamic off-peak pricing;Group cart & split pay;AI meal-builder;Community impact badges,No,4,4,2,3,Yes,3,Within 1 month,29,Free delivery,Quality trust,2
35-44,Man,20-35k,2,32,2-3,Snack 14-17;Lunch 11-14,42.82,8.8,Western-comfort;Healthy bowls;Indian,3,12.8,Omnivore,Dairy,4,5,Maybe,Community impact badges;Reusable-pack rewards;Chef livestreams & AR plating guides,No,4,2,4,2,No,4,After friends’ reviews,48,Free delivery,Packaging waste,4
25-34,Man,10-20k,4,22,0-1,Late night 22-02;Dinner 18-22;Lunch 11-14,70.12,10.7,Western-comfort;Indian;Desserts / Bakery,3,9.0,Omnivore,Nuts,2,4,Maybe,Reusable-pack rewards;Freshness alerts,Yes,3,3,3,3,No,1,Within 1 month,61,Free delivery,Delivery speed,3
25-34,Man,20-35k,2,50,4-5,Lunch 11-14,72.34,14.3,Desserts / Bakery;Western-comfort,3,11.5,Vegetarian,None,2,4,No,Chef livestreams & AR plating guides;Mood-weather menu,Yes,3,4,3,5,No,3,Within 1 month,31,Off-peak % discount,Delivery speed,3
35-44,Man,20-35k,3,64,0-1,Dinner 18-22,27.59,4.5,Asian-street;Arab;Indian,2,7.1,Omnivore,None;Seafood,3,2,Yes,Freshness alerts;AI meal-builder,Yes,4,3,4,2,Yes,6,Immediately,55,Off-peak % discount,Price,4
35-44,Woman,20-35k,1,63,2-3,Lunch 11-14;Snack 14-17,40.45,8.3,Arab,1,3.3,Omnivore,None;Gluten,3,5,Maybe,Freshness alerts;Mood-weather menu,Yes,4,3,3,4,Yes,10,Within 1 month,28,Loyalty points,Price,3
35-44,Woman,<5k,4,48,2-3,Breakfast 6-10;Dinner 18-22,37.72,13.0,Arab;Healthy bowls,2,7.4,Omnivore,Dairy,5,3,Yes,Freshness alerts;Mood-weather menu,No,3,4,4,4,Yes,10,Within 1 month,41,Free delivery,Delivery speed,4
